,0
0,go jurong point crazy available bugis n great world la e buffet cine get amore wat
1,ok lar joke wif u oni
2,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
3,u dun say early hor u c already say
4,nah think go usf live around though
5,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
6,even brother like speak treat like aid patent
7,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
8,winner value network customer select receivea prize reward claim call claim code kl valid hours
9,mobile months u r entitle update latest colour mobiles camera free call mobile update co free
10,gon na home soon want talk stuff anymore tonight k cry enough today
11,six chance win cash pound txt csh send cost p day days tsandcs apply reply hl info
12,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,search right word thank breather promise wont take help grant fulfil promise wonderful bless time
14,date sunday
15,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,oh k watch
17,eh u remember spell name yes v naughty make v wet
18,fine way u feel way gota b
19,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq
20,seriously spell name
21,go try months ha ha joke
22,pay first lar da stock comin
23,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,ffffffffff alright way meet sooner
25,force eat slice really hungry tho suck mark get worry know sick turn pizza lol
26,lol always convince
27,catch bus fry egg make tea eat mom leave dinner feel love
28,back amp pack car let know room
29,ahhh work vaguely remember feel like lol
30,wait still clear sure sarcastic x want live us
31,yeah get v apologetic n fall actin like spoil child get catch till go badly cheer
32,k tell anything
33,fear faint housework quick cuppa
34,thank subscription ringtone uk mobile charge month please confirm reply yes reply charge
35,yup ok go home look time msg xuhui go learn nd may lesson
36,oops let know roommate do
37,see letter b car
38,anything lor u decide
39,hello saturday go texting see decide anything tomo try invite anything
40,pls go ahead watts want sure great weekend abiola
41,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,rodger burn msg try call reply sms free nokia mobile free camcorder please call delivery tomorrow
43,see
44,great hope like man well endow lt gt inch
45,call message miss call
46,get hep b immunisation nigeria
47,fair enough anything go
48,yeah hopefully tyler could maybe ask around bite
49,u know stubborn even want go hospital keep tell mark weak sucker hospitals weak suckers
50,think first time saw class
51,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,k fyi x ride early tomorrow morning crash place tonight
53,wow never realize embarassed accomodations think like since best could always seem happy cave sorry give sorry offer sorry room embarassing
54,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,know mallika sherawat yesterday find lt url gt
56,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
57,sorry call later meet
58,tell reach
59,yes gauti sehwag odi series
60,gon na pick burger way home even move pain kill
61,ha ha ha good joke girls situation seekers
62,part check iq
63,sorry roommates take forever ok come
64,ok lar double check wif da hair dresser already say wun cut v short say cut look nice
65,value customer please advise follow recent review mob award bonus prize call
66,today song dedicate day song u dedicate send ur valuable frnds first rply
67,urgent ur award complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
68,hear new divorce barbie come ken stuff
69,plane give month end
70,wah lucky man save money hee
71,finish class
72,hi babe im home wan na something xx
73,k k perform
74,u call
75,wait machan call free
76,thats cool gentleman treat dignity respect
77,like people much shy pa
78,operate lt gt
79,still look job much ta earn
80,sorry call later
81,k call ah
82,ok way home hi hi
83,place man
84,yup next stop
85,call later network urgnt sms
86,real u get yo need ticket one jacket do already use multis
87,yes start send request make pain come back back bed double coin factory get ta cash nitros
88,really still tonight babe
89,ela kano il download come wen ur free
90,yeah stand close tho catch something
91,sorry pain ok meet another night spend late afternoon casualty mean do stuff moro include time sheet sorry
92,smile pleasure smile pain smile trouble pour like rain smile sum hurt u smile becoz someone still love see u smile
93,please call customer service representative pm guarantee cash prize
94,havent plan buy later check already lido get show e afternoon u finish work already
95,free ringtone wait collect simply text password mix verify get usher britney fml
96,watch telugu movie wat abt u
97,see finish load loan pay
98,hi wk ok hols yes bite run forget hairdressers appointment four need get home n shower beforehand cause prob u ham
99,please text anymore nothing else say
100,okay name ur price long legal wen pick u ave x ams xx
101,still look car buy go drive test yet
102,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
103,wow right mean guess give boston men change search location nyc something change cuz signin page still say boston
104,umma life vava umma love lot dear
105,thank lot wish birthday thank make birthday truly memorable
106,aight hit get cash
107,would ip address test consider computer minecraft server
108,know grumpy old people mom like better lie always one play joke
109,dont worry guess busy
110,plural noun research
111,go dinner msg
112,ok wif cos like try new things scar u dun like mah cos u say loud
113,gent try contact last weekend draw show prize guarantee call claim code k valid hrs ppm
114,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
115,enter cabin pa say happy b day boss felt special askd lunch lunch invite apartment go
116,winner u specially select receive holiday flight inc speak live operator claim p min
117,goodo yes must speak friday egg potato ratio tortilla need
118,hmm uncle inform pay school directly pls buy food
119,private account statement show unredeemed bonus point claim call identifier code expire
120,urgent mobile award bonus caller prize final try contact u call landline box wr c ppm
121,new address apples pair malarky
122,todays voda number end select receive award match please call quote claim code standard rat app
123,go sao mu today do
124,predict wat time finish buy
125,good stuff
126,know yetunde send money yet send text bother send dont involve anything impose anything first place apologise
127,room
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,k k much cost
130,home
131,dear call tmorrow pls accomodate
132,first answer question
133,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
134,want get lay tonight want real dog locations send direct ur mob join uk largest dog network bt txting gravel nt ec p msg p
135,haf msn yijue hotmail com
136,call meet
137,check room befor activities
138,rcv msgs chat svc free hardcore service text go u get nothing u must age verify yr network try
139,get c lazy type forget lect saw pouch like v nice
140,k text way
141,sir wait mail
142,swt think nver get tire little things lovable persons coz somtimes little things occupy biggest part hearts gud ni
143,know pls open back
144,yes see ya dot
145,whats staff name take class us
146,freemsg reply text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
147,ummma call check life begin qatar pls pray hard
148,k delete contact
149,sindu get job birla soft
150,wine flow nevering
151,yup thk cine better cos need go plaza mah
152,ok ur typical reply
153,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
154,aaooooright work
155,leave house
156,hello love get interview today happy good boy think miss
157,customer service annoncement new years delivery wait please call arrange delivery
158,winner u specially select receive cash holiday flight inc speak live operator claim
159,keep safe need miss already envy everyone see real life
160,new car house parent new job hand
161,love excite day spend make happy
162,pls stop bootydelious f invite friend reply yes see www sms ac u bootydelious stop send stop frnd
163,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
164,place ur point e culture module already
165,urgent try contact last weekend draw show prize guarantee call claim code valid hrs
166,hi frnd best way avoid missunderstding wit beloved one
167,great escape fancy bridge need lager see tomo
168,yes completely form clark also utter waste
169,sir need axis bank account bank address
170,hmmm thk sure get time hop ard ya go free abt muz call u discuss liao
171,time come later
172,bloody hell cant believe forget surname mr ill give u clue spanish begin
173,well gon na finish bath good fine night
174,let know get money carlos make call
175,u still go mall
176,turn friends stay whole show back til lt gt feel free go ahead smoke lt gt worth
177,text doesnt reply let know log
178,hi speak maneesha v like know satisfy experience reply toll free yes
179,lift hop offer money need especially end month approach hurt study anyways gr weekend
180,lol u trust
181,ok gentleman treat dignity respect
182,guy close
183,go nothing great bye
184,hello handsome find job lazy work towards get back net mummy boytoy miss
185,haha awesome minute
186,please call customer service representative freephone pm guarantee cash prize
187,get xmas radio time get
188,jus reach home go bathe first sis use net tell u finish k
189,unique enough find th august www areyouunique co uk
190,sorry join league people dont keep touch mean great deal friend time even great personal cost great week
191,hi finally complete course
192,stop however suggest stay someone able give ors every stool
193,hope settle new school year wishin gr day
194,gud mrng dear hav nice day
195,u get persons story
196,hamster dead hey tmr meet pm orchard mrt
197,hi kate even hope see tomorrow bite bloody babyjontet txt back u xxx
198,find enc lt gt
